source,target,strength
STANLIB,RECM,0.00063
STANLIB,SIM,0.00022
STANLIB,GRYPHON,0.00032
STANLIB,TRUFFLE,0.00017
STANLIB,DISCOVERY,0.00022
STANLIB,OLD,0.00017
STANLIB,MARRIOT,0.00015
STANLIB,NEWFUNDS,0.00051
STANLIB,ALLAN,0.00046
STANLIB,OASIS,0.00035
STANLIB,ASHBURTON,0.00198
STANLIB,MOMENTUM,0.00083
STANLIB,GLACIER,0.00016
STANLIB,COLOURFIELD,0.00055
STANLIB,PRESCIENT,0.0005
STANLIB,HOLLARD,0.00012
STANLIB,CITADEL,0.00013
STANLIB,PRUDENTIAL,0.01284
STANLIB,CORONATION,0.00832
STANLIB,PSG,0.00087
STANLIB,INVESTEC,0.00162
STANLIB,NEDBANK,0.00067
RECM,STANLIB,0.00063
RECM,SIM,0.00013
RECM,TRUFFLE,0.0001
RECM,ALLAN,0.00026
RECM,ASHBURTON,0.00011
RECM,MOMENTUM,0.00029
RECM,PRESCIENT,0.0002
RECM,PRUDENTIAL,0.00019
RECM,CORONATION,0.0003
RECM,INVESTEC,0.00066
RECM,NEDBANK,0.00027
SIM,STANLIB,0.00022
SIM,RECM,0.00013
SIM,ALLAN,0.00014
SIM,MOMENTUM,0.00028
SIM,GLACIER,0.00018
SIM,PRESCIENT,0.00018
SIM,PRUDENTIAL,0.00019
SIM,INVESTEC,0.00015
SIM,NEDBANK,0.00011
GRYPHON,STANLIB,0.00032
TRUFFLE,STANLIB,0.00017
TRUFFLE,RECM,0.0001
TRUFFLE,INVESTEC,0.00022
DISCOVERY,STANLIB,0.00022
DISCOVERY,PRUDENTIAL,0.00011
DISCOVERY,CORONATION,0.00012
DISCOVERY,INVESTEC,0.00101
OLD,STANLIB,0.00017
OLD,OASIS,0.00022
OLD,CORONATION,0.00028
OLD,INVESTEC,0.00079
MARRIOT,STANLIB,0.00015
NEWFUNDS,STANLIB,0.00051
NEWFUNDS,CORONATION,0.0001
ALLAN,STANLIB,0.00046
ALLAN,RECM,0.00026
ALLAN,SIM,0.00014
ALLAN,MOMENTUM,0.00051
ALLAN,PRESCIENT,0.00035
ALLAN,PRUDENTIAL,0.00037
ALLAN,CORONATION,0.00011
ALLAN,PSG,0.00013
ALLAN,INVESTEC,0.00039
ALLAN,NEDBANK,0.00012
CADIZ,MOMENTUM,0.00013
OASIS,STANLIB,0.00035
OASIS,OLD,0.00022
OASIS,GLACIER,0.00015
OASIS,PRESCIENT,0.00018
OASIS,CORONATION,0.00061
OASIS,INVESTEC,0.00033
OASIS,NEDBANK,0.00014
ABSA,US,0.00015
ASHBURTON,STANLIB,0.00198
ASHBURTON,RECM,0.00011
ASHBURTON,MOMENTUM,0.00015
ASHBURTON,PRUDENTIAL,0.00012
ASHBURTON,CORONATION,0.00028
ASHBURTON,US,0.00013
ASHBURTON,INVESTEC,0.00014
MOMENTUM,STANLIB,0.00083
MOMENTUM,RECM,0.00029
MOMENTUM,SIM,0.00028
MOMENTUM,ALLAN,0.00051
MOMENTUM,CADIZ,0.00013
MOMENTUM,ASHBURTON,0.00015
MOMENTUM,PRESCIENT,0.00072
MOMENTUM,HOLLARD,0.00015
MOMENTUM,CITADEL,0.0001
MOMENTUM,PRUDENTIAL,0.00074
MOMENTUM,CORONATION,0.00011
MOMENTUM,PSG,0.00028
MOMENTUM,INVESTEC,0.00018
MOMENTUM,NEDBANK,0.00013
GLACIER,STANLIB,0.00016
GLACIER,SIM,0.00018
GLACIER,OASIS,0.00015
GLACIER,CORONATION,0.00021
GLACIER,INVESTEC,0.00016
COLOURFIELD,STANLIB,0.00055
COLOURFIELD,CORONATION,0.00011
PRESCIENT,STANLIB,0.0005
PRESCIENT,RECM,0.0002
PRESCIENT,SIM,0.00018
PRESCIENT,ALLAN,0.00035
PRESCIENT,OASIS,0.00018
PRESCIENT,MOMENTUM,0.00072
PRESCIENT,HOLLARD,0.00014
PRESCIENT,PRUDENTIAL,0.00051
PRESCIENT,CORONATION,0.00026
PRESCIENT,PSG,0.00017
PRESCIENT,INVESTEC,0.00016
PRESCIENT,NEDBANK,0.0001
HOLLARD,STANLIB,0.00012
HOLLARD,MOMENTUM,0.00015
HOLLARD,PRESCIENT,0.00014
HOLLARD,PRUDENTIAL,0.0001
CITADEL,STANLIB,0.00013
CITADEL,MOMENTUM,0.0001
PRUDENTIAL,STANLIB,0.01284
PRUDENTIAL,RECM,0.00019
PRUDENTIAL,SIM,0.00019
PRUDENTIAL,DISCOVERY,0.00011
PRUDENTIAL,ALLAN,0.00037
PRUDENTIAL,ASHBURTON,0.00012
PRUDENTIAL,MOMENTUM,0.00074
PRUDENTIAL,PRESCIENT,0.00051
PRUDENTIAL,HOLLARD,0.0001
PRUDENTIAL,CORONATION,0.00446
PRUDENTIAL,PSG,0.0002
PRUDENTIAL,NEDBANK,0.00013
CORONATION,STANLIB,0.00832
CORONATION,RECM,0.0003
CORONATION,DISCOVERY,0.00012
CORONATION,OLD,0.00028
CORONATION,NEWFUNDS,0.0001
CORONATION,ALLAN,0.00011
CORONATION,OASIS,0.00061
CORONATION,ASHBURTON,0.00028
CORONATION,MOMENTUM,0.00011
CORONATION,GLACIER,0.00021
CORONATION,COLOURFIELD,0.00011
CORONATION,PRESCIENT,0.00026
CORONATION,PRUDENTIAL,0.00446
CORONATION,INVESTEC,0.00089
PSG,STANLIB,0.00087
PSG,ALLAN,0.00013
PSG,MOMENTUM,0.00028
PSG,PRESCIENT,0.00017
PSG,PRUDENTIAL,0.0002
US,ABSA,0.00015
INVESTEC,STANLIB,0.00162
INVESTEC,RECM,0.00066
INVESTEC,SIM,0.00015
INVESTEC,TRUFFLE,0.00022
INVESTEC,DISCOVERY,0.00101
INVESTEC,OLD,0.00079
INVESTEC,ALLAN,0.00039
INVESTEC,OASIS,0.00033
INVESTEC,ASHBURTON,0.00014
INVESTEC,MOMENTUM,0.00018
INVESTEC,GLACIER,0.00016
INVESTEC,PRESCIENT,0.00016
INVESTEC,CORONATION,0.00089
INVESTEC,NEDBANK,0.00035
NEDBANK,STANLIB,0.00067
NEDBANK,RECM,0.00027
NEDBANK,SIM,0.00011
NEDBANK,ALLAN,0.00012
NEDBANK,OASIS,0.00014
NEDBANK,MOMENTUM,0.00013
NEDBANK,PRESCIENT,0.0001
NEDBANK,PRUDENTIAL,0.00013
NEDBANK,INVESTEC,0.00035
